g	seed	stationary_entropy	top_q	fix_frac	fixation
0.0	50	1.08613	0.3884	0.000	0
0.0	51	1.08812	0.3832	0.000	0
0.0	52	1.08543	0.3867	0.000	0
0.0	53	1.08617	0.3890	0.000	0
0.0	54	1.08654	0.3833	0.000	0
0.0	55	1.08501	0.3885	0.000	0
0.0	56	1.08744	0.3821	0.000	0
0.0	57	1.08576	0.3915	0.000	0
0.0	58	1.08693	0.3861	0.000	0
0.0	59	1.08551	0.3909	0.000	0
0.25	50	1.07443	0.4166	0.000	0
0.25	51	1.07987	0.4039	0.000	0
0.25	52	1.07504	0.4142	0.000	0
0.25	53	1.07945	0.4069	0.000	0
0.25	54	1.07262	0.4179	0.000	0
0.25	55	1.07692	0.4069	0.000	0
0.25	56	1.07896	0.4047	0.000	0
0.25	57	1.07675	0.4098	0.000	0
0.25	58	1.07170	0.4204	0.000	0
0.25	59	1.07077	0.4220	0.000	0
0.5	50	1.03341	0.4913	0.000	0
0.5	51	1.04195	0.4791	0.000	0
0.5	52	1.03348	0.4936	0.000	0
0.5	53	1.04688	0.4716	0.000	0
0.5	54	1.03001	0.4955	0.000	0
0.5	55	1.03580	0.4896	0.000	0
0.5	56	1.04247	0.4800	0.000	0
0.5	57	1.04430	0.4756	0.000	0
0.5	58	1.03158	0.4947	0.000	0
0.5	59	1.02903	0.4978	0.000	0
0.75	50	0.96584	0.5733	0.000	0
0.75	51	0.97136	0.5669	0.000	0
0.75	52	0.96554	0.5753	0.000	0
0.75	53	0.97847	0.5620	0.000	0
0.75	54	0.96168	0.5780	0.000	0
0.75	55	0.96109	0.5792	0.000	0
0.75	56	0.96440	0.5750	0.000	0
0.75	57	0.97742	0.5617	0.000	0
0.75	58	0.95784	0.5814	0.000	0
0.75	59	0.95609	0.5853	0.000	0
1.0	50	0.86899	0.6572	0.000	0
1.0	51	0.86095	0.6623	0.000	0
1.0	52	0.84799	0.6727	0.000	0
1.0	53	0.87253	0.6535	0.000	0
1.0	54	0.85775	0.6649	0.000	0
1.0	55	0.85835	0.6636	0.000	0
1.0	56	0.86788	0.6563	0.000	0
1.0	57	0.86385	0.6611	0.000	0
1.0	58	0.83712	0.6770	0.000	0
1.0	59	0.84298	0.6751	0.000	0
1.25	50	0.73270	0.7444	0.000	0
1.25	51	0.72396	0.7489	0.000	0
1.25	52	0.70625	0.7599	0.000	0
1.25	53	0.73465	0.7428	0.000	0
1.25	54	0.73168	0.7462	0.000	0
1.25	55	0.72472	0.7485	0.000	0
1.25	56	0.72764	0.7475	0.000	0
1.25	57	0.71953	0.7521	0.000	0
1.25	58	0.69615	0.7624	0.000	0
1.25	59	0.70263	0.7610	0.000	0
1.5	50	0.58461	0.8197	0.000	0
1.5	51	0.55912	0.8293	0.000	0
1.5	52	0.54555	0.8375	0.000	0
1.5	53	0.57553	0.8225	0.000	0
1.5	54	0.56070	0.8305	0.000	0
1.5	55	0.56364	0.8281	0.000	0
1.5	56	0.55408	0.8325	0.000	0
1.5	57	0.55955	0.8307	0.000	0
1.5	58	0.54195	0.8364	0.000	0
1.5	59	0.55522	0.8322	0.000	0
2.0	50	0.25365	0.9401	0.378	0
2.0	51	0.21541	0.9491	0.492	0
2.0	52	0.23066	0.9454	0.482	0
2.0	53	0.23163	0.9454	0.519	0
2.0	54	0.22775	0.9474	0.482	0
2.0	55	0.25284	0.9402	0.344	0
2.0	56	0.22988	0.9450	0.399	0
2.0	57	0.24517	0.9420	0.355	0
2.0	58	0.22671	0.9470	0.463	0
2.0	59	0.24999	0.9392	0.363	0
2.5	50	0.03752	0.9922	1.000	1
2.5	51	0.04705	0.9900	0.971	1
2.5	52	0.04088	0.9914	0.985	1
2.5	53	0.03866	0.9920	1.000	1
2.5	54	0.04534	0.9906	1.000	1
2.5	55	0.06872	0.9851	0.942	1
2.5	56	0.02941	0.9940	1.000	1
2.5	57	0.02928	0.9940	1.000	1
2.5	58	0.03792	0.9920	1.000	1
2.5	59	0.05788	0.9870	0.962	1
3.0	50	0.00843	0.9983	1.000	1
3.0	51	0.00980	0.9980	1.000	1
3.0	52	0.00882	0.9982	1.000	1
3.0	53	-0.00000	1.0000	1.000	1
3.0	54	0.00490	0.9990	1.000	1
3.0	55	0.01598	0.9967	1.000	1
3.0	56	0.00490	0.9990	1.000	1
3.0	57	0.00980	0.9980	1.000	1
3.0	58	0.00980	0.9980	1.000	1
3.0	59	0.01350	0.9970	1.000	1
3.5	50	-0.00000	1.0000	1.000	1
3.5	51	-0.00000	1.0000	1.000	1
3.5	52	-0.00000	1.0000	1.000	1
