condition	beta_state_k	k_base	seed	cycle_level	stage3_score	turn_strength	env_gamma	env_gamma_r2	env_gamma_n_peaks	control_env_gamma	control_stage3_score	gamma_uplift_ratio_vs_control_seed	stage3_uplift_vs_control_seed	has_level3_seed	k_clamped_ratio	mean_effective_k	min_effective_k	max_effective_k	mean_state_dominance	mean_state_k_factor	out_csv	provenance_json
beta0p00_k0p08	0.000000	0.080000	45	2	0.522560	0.000248	0.000109	0.196733	974	0.000109	0.522560	1.000000	0.000000	no	0.000000	0.080000	0.080000	0.080000	0.554508	1.000000	reports/experiments/l3_bottleneck/phase2/b4_scout/beta0p00_k0p08/seed45.csv	reports/experiments/l3_bottleneck/phase2/b4_scout/beta0p00_k0p08/seed45_provenance.json
beta0p00_k0p08	0.000000	0.080000	47	2	0.514286	0.000257	0.000112	0.197198	979	0.000112	0.514286	1.000000	0.000000	no	0.000000	0.080000	0.080000	0.080000	0.556534	1.000000	reports/experiments/l3_bottleneck/phase2/b4_scout/beta0p00_k0p08/seed47.csv	reports/experiments/l3_bottleneck/phase2/b4_scout/beta0p00_k0p08/seed47_provenance.json
beta0p00_k0p08	0.000000	0.080000	49	2	0.523659	0.000248	0.000126	0.212999	972	0.000126	0.523659	1.000000	0.000000	no	0.000000	0.080000	0.080000	0.080000	0.557706	1.000000	reports/experiments/l3_bottleneck/phase2/b4_scout/beta0p00_k0p08/seed49.csv	reports/experiments/l3_bottleneck/phase2/b4_scout/beta0p00_k0p08/seed49_provenance.json
beta0p00_k0p08	0.000000	0.080000	50	2	0.500527	0.000244	0.000118	0.207178	971	0.000118	0.500527	1.000000	0.000000	no	0.000000	0.080000	0.080000	0.080000	0.554738	1.000000	reports/experiments/l3_bottleneck/phase2/b4_scout/beta0p00_k0p08/seed50.csv	reports/experiments/l3_bottleneck/phase2/b4_scout/beta0p00_k0p08/seed50_provenance.json
beta0p00_k0p08	0.000000	0.080000	51	2	0.523860	0.000259	0.000120	0.220678	973	0.000120	0.523860	1.000000	0.000000	no	0.000000	0.080000	0.080000	0.080000	0.558309	1.000000	reports/experiments/l3_bottleneck/phase2/b4_scout/beta0p00_k0p08/seed51.csv	reports/experiments/l3_bottleneck/phase2/b4_scout/beta0p00_k0p08/seed51_provenance.json
beta0p00_k0p08	0.000000	0.080000	52	2	0.511530	0.000261	0.000126	0.226416	970	0.000126	0.511530	1.000000	0.000000	no	0.000000	0.080000	0.080000	0.080000	0.567699	1.000000	reports/experiments/l3_bottleneck/phase2/b4_scout/beta0p00_k0p08/seed52.csv	reports/experiments/l3_bottleneck/phase2/b4_scout/beta0p00_k0p08/seed52_provenance.json
beta0p00_k0p08	0.000000	0.080000	53	2	0.506250	0.000260	0.000114	0.198337	979	0.000114	0.506250	1.000000	0.000000	no	0.000000	0.080000	0.080000	0.080000	0.547639	1.000000	reports/experiments/l3_bottleneck/phase2/b4_scout/beta0p00_k0p08/seed53.csv	reports/experiments/l3_bottleneck/phase2/b4_scout/beta0p00_k0p08/seed53_provenance.json
beta0p00_k0p08	0.000000	0.080000	54	2	0.510395	0.000249	0.000119	0.210079	959	0.000119	0.510395	1.000000	0.000000	no	0.000000	0.080000	0.080000	0.080000	0.559553	1.000000	reports/experiments/l3_bottleneck/phase2/b4_scout/beta0p00_k0p08/seed54.csv	reports/experiments/l3_bottleneck/phase2/b4_scout/beta0p00_k0p08/seed54_provenance.json
beta0p00_k0p08	0.000000	0.080000	55	2	0.520704	0.000247	0.000120	0.202094	966	0.000120	0.520704	1.000000	0.000000	no	0.000000	0.080000	0.080000	0.080000	0.561426	1.000000	reports/experiments/l3_bottleneck/phase2/b4_scout/beta0p00_k0p08/seed55.csv	reports/experiments/l3_bottleneck/phase2/b4_scout/beta0p00_k0p08/seed55_provenance.json
beta0p00_k0p08	0.000000	0.080000	56	2	0.519874	0.000262	0.000118	0.206008	976	0.000118	0.519874	1.000000	0.000000	no	0.000000	0.080000	0.080000	0.080000	0.558231	1.000000	reports/experiments/l3_bottleneck/phase2/b4_scout/beta0p00_k0p08/seed56.csv	reports/experiments/l3_bottleneck/phase2/b4_scout/beta0p00_k0p08/seed56_provenance.json
beta0p60_k0p08	0.600000	0.080000	45	2	0.504167	0.000304	0.000250	0.289550	956	0.000109	0.522560	2.293578	-0.018393	no	0.000000	0.056529	0.049143	0.079059	0.681008	0.706619	reports/experiments/l3_bottleneck/phase2/b4_scout/beta0p60_k0p08/seed45.csv	reports/experiments/l3_bottleneck/phase2/b4_scout/beta0p60_k0p08/seed45_provenance.json
beta0p60_k0p08	0.600000	0.080000	47	2	0.519751	0.000343	0.000291	0.349542	993	0.000112	0.514286	2.598214	0.005465	no	0.000000	0.057073	0.048961	0.078154	0.668877	0.713416	reports/experiments/l3_bottleneck/phase2/b4_scout/beta0p60_k0p08/seed47.csv	reports/experiments/l3_bottleneck/phase2/b4_scout/beta0p60_k0p08/seed47_provenance.json
beta0p60_k0p08	0.600000	0.080000	49	2	0.504193	0.000307	0.000324	0.385587	995	0.000126	0.523659	2.571429	-0.019466	no	0.000000	0.057153	0.048901	0.078602	0.668007	0.714411	reports/experiments/l3_bottleneck/phase2/b4_scout/beta0p60_k0p08/seed49.csv	reports/experiments/l3_bottleneck/phase2/b4_scout/beta0p60_k0p08/seed49_provenance.json
beta0p60_k0p08	0.600000	0.080000	50	2	0.514583	0.000345	0.000298	0.349737	970	0.000118	0.500527	2.525424	0.014056	no	0.000000	0.057000	0.049021	0.078602	0.670072	0.712497	reports/experiments/l3_bottleneck/phase2/b4_scout/beta0p60_k0p08/seed50.csv	reports/experiments/l3_bottleneck/phase2/b4_scout/beta0p60_k0p08/seed50_provenance.json
beta0p60_k0p08	0.600000	0.080000	51	2	0.517708	0.000327	0.000278	0.332762	974	0.000120	0.523860	2.316667	-0.006152	no	0.000000	0.056974	0.048901	0.078154	0.670639	0.712179	reports/experiments/l3_bottleneck/phase2/b4_scout/beta0p60_k0p08/seed51.csv	reports/experiments/l3_bottleneck/phase2/b4_scout/beta0p60_k0p08/seed51_provenance.json
beta0p60_k0p08	0.600000	0.080000	52	2	0.533679	0.000320	0.000306	0.354110	967	0.000126	0.511530	2.428571	0.022149	no	0.000000	0.056953	0.049021	0.078154	0.671653	0.711915	reports/experiments/l3_bottleneck/phase2/b4_scout/beta0p60_k0p08/seed52.csv	reports/experiments/l3_bottleneck/phase2/b4_scout/beta0p60_k0p08/seed52_provenance.json
beta0p60_k0p08	0.600000	0.080000	53	2	0.512397	0.000336	0.000294	0.339772	974	0.000114	0.506250	2.578947	0.006147	no	0.000000	0.056953	0.048961	0.079059	0.670689	0.711916	reports/experiments/l3_bottleneck/phase2/b4_scout/beta0p60_k0p08/seed53.csv	reports/experiments/l3_bottleneck/phase2/b4_scout/beta0p60_k0p08/seed53_provenance.json
beta0p60_k0p08	0.600000	0.080000	54	2	0.522326	0.000315	0.000292	0.364135	972	0.000119	0.510395	2.453782	0.011931	no	0.000000	0.057030	0.048901	0.078602	0.670679	0.712875	reports/experiments/l3_bottleneck/phase2/b4_scout/beta0p60_k0p08/seed54.csv	reports/experiments/l3_bottleneck/phase2/b4_scout/beta0p60_k0p08/seed54_provenance.json
