gate	condition	tangential_drift_delta	is_control	n_seeds	mean_cycle_level	mean_stage3_score	mean_turn_strength	mean_env_gamma	level_counts_json	p_level_3	level3_seed_count	control_mean_env_gamma	control_mean_stage3_score	gamma_uplift_ratio_vs_control	stage3_uplift_vs_control	g1_turn_ratio_vs_control	g1_level_gate_pass	g1_turn_gate_pass	g1_drift_gate_pass	g1_gate_pass	drift_contribution_ratio	mean_drift_norm	mean_effective_delta_growth_ratio	mean_tangential_alignment	phase_amplitude_stability	short_scout_pass	hard_stop_fail	longer_confirm_candidate	verdict	representative_seed	representative_simplex_png	representative_phase_amplitude_png	representative_drift_vector_rose_png	enable_events	events_json	memory_kernel	players	rounds	out_dir
g1_mean_field	g1_mean_field_delta0p000	0.000000	yes	10	3.000000	1.000000	0.000000	0.000381	"{""0"": 0, ""1"": 0, ""2"": 0, ""3"": 10}"	1.000000	10	0.000381	1.000000	1.000000	0.000000	1.000000	yes	yes	yes	yes	0.000000	0.000000	0.000000	0.000000	0.812433			no	control	45	reports/experiments/l3_bottleneck/phase2/b5_scout/g1_mean_field_delta0p000/seed45_simplex.png	reports/experiments/l3_bottleneck/phase2/b5_scout/g1_mean_field_delta0p000/seed45_phase_amplitude.png	reports/experiments/l3_bottleneck/phase2/b5_scout/g1_mean_field_delta0p000/seed45_drift_vector_rose.png	no		3	0	3000	reports/experiments/l3_bottleneck/phase2/b5_scout/g1_mean_field_delta0p000
g1_mean_field	g1_mean_field_delta0p003	0.003000	no	10	3.000000	1.000000	0.000000	0.000405	"{""0"": 0, ""1"": 0, ""2"": 0, ""3"": 10}"	1.000000	10	0.000381	1.000000	1.062992	0.000000	1.000000	yes	yes	yes	yes	0.003572	0.003000	0.003572	-0.835986	0.813437			no	pass	45	reports/experiments/l3_bottleneck/phase2/b5_scout/g1_mean_field_delta0p003/seed45_simplex.png	reports/experiments/l3_bottleneck/phase2/b5_scout/g1_mean_field_delta0p003/seed45_phase_amplitude.png	reports/experiments/l3_bottleneck/phase2/b5_scout/g1_mean_field_delta0p003/seed45_drift_vector_rose.png	no		3	0	3000	reports/experiments/l3_bottleneck/phase2/b5_scout/g1_mean_field_delta0p003
g1_mean_field	g1_mean_field_delta0p006	0.006000	no	10	3.000000	1.000000	0.000000	0.000402	"{""0"": 0, ""1"": 0, ""2"": 0, ""3"": 10}"	1.000000	10	0.000381	1.000000	1.055118	0.000000	1.000000	yes	yes	yes	yes	0.007110	0.006000	0.007110	-0.835063	0.815823			no	pass	45	reports/experiments/l3_bottleneck/phase2/b5_scout/g1_mean_field_delta0p006/seed45_simplex.png	reports/experiments/l3_bottleneck/phase2/b5_scout/g1_mean_field_delta0p006/seed45_phase_amplitude.png	reports/experiments/l3_bottleneck/phase2/b5_scout/g1_mean_field_delta0p006/seed45_drift_vector_rose.png	no		3	0	3000	reports/experiments/l3_bottleneck/phase2/b5_scout/g1_mean_field_delta0p006
g1_mean_field	g1_mean_field_delta0p010	0.010000	no	10	3.000000	1.000000	0.000001	0.000398	"{""0"": 0, ""1"": 0, ""2"": 0, ""3"": 10}"	1.000000	10	0.000381	1.000000	1.044619	0.000000	inf	yes	yes	yes	yes	0.011820	0.010000	0.011820	-0.836477	0.817841			no	pass	45	reports/experiments/l3_bottleneck/phase2/b5_scout/g1_mean_field_delta0p010/seed45_simplex.png	reports/experiments/l3_bottleneck/phase2/b5_scout/g1_mean_field_delta0p010/seed45_phase_amplitude.png	reports/experiments/l3_bottleneck/phase2/b5_scout/g1_mean_field_delta0p010/seed45_drift_vector_rose.png	no		3	0	3000	reports/experiments/l3_bottleneck/phase2/b5_scout/g1_mean_field_delta0p010
g1_mean_field	g1_mean_field_delta0p015	0.015000	no	10	3.000000	1.000000	0.000001	0.000393	"{""0"": 0, ""1"": 0, ""2"": 0, ""3"": 10}"	1.000000	10	0.000381	1.000000	1.031496	0.000000	inf	yes	yes	yes	yes	0.017800	0.015000	0.017800	-0.838443	0.817930			no	pass	45	reports/experiments/l3_bottleneck/phase2/b5_scout/g1_mean_field_delta0p015/seed45_simplex.png	reports/experiments/l3_bottleneck/phase2/b5_scout/g1_mean_field_delta0p015/seed45_phase_amplitude.png	reports/experiments/l3_bottleneck/phase2/b5_scout/g1_mean_field_delta0p015/seed45_drift_vector_rose.png	no		3	0	3000	reports/experiments/l3_bottleneck/phase2/b5_scout/g1_mean_field_delta0p015
g2_sampled	g2_sampled_delta0p000	0.000000	yes	10	2.000000	0.514487	0.000252	0.000119	"{""0"": 0, ""1"": 0, ""2"": 10, ""3"": 0}"	0.000000	0	0.000119	0.514487	1.000000	0.000000					yes	0.000000	0.000000	0.000000	0.000000	0.975688	no	no	no	control	45	reports/experiments/l3_bottleneck/phase2/b5_scout/g2_sampled_delta0p000/seed45_simplex.png	reports/experiments/l3_bottleneck/phase2/b5_scout/g2_sampled_delta0p000/seed45_phase_amplitude.png	reports/experiments/l3_bottleneck/phase2/b5_scout/g2_sampled_delta0p000/seed45_drift_vector_rose.png	yes	/home/user/personality-dungeon/docs/personality_dungeon_v1/02_event_templates_v1.json	3	300	3000	reports/experiments/l3_bottleneck/phase2/b5_scout/g2_sampled_delta0p000
g2_sampled	g2_sampled_delta0p003	0.003000	no	10	2.000000	0.514752	0.000252	0.000119	"{""0"": 0, ""1"": 0, ""2"": 10, ""3"": 0}"	0.000000	0	0.000119	0.514487	1.000000	0.000265					yes	0.004677	0.003000	0.004677	0.023852	0.975674	no	yes	no	fail	45	reports/experiments/l3_bottleneck/phase2/b5_scout/g2_sampled_delta0p003/seed45_simplex.png	reports/experiments/l3_bottleneck/phase2/b5_scout/g2_sampled_delta0p003/seed45_phase_amplitude.png	reports/experiments/l3_bottleneck/phase2/b5_scout/g2_sampled_delta0p003/seed45_drift_vector_rose.png	yes	/home/user/personality-dungeon/docs/personality_dungeon_v1/02_event_templates_v1.json	3	300	3000	reports/experiments/l3_bottleneck/phase2/b5_scout/g2_sampled_delta0p003
g2_sampled	g2_sampled_delta0p006	0.006000	no	10	2.000000	0.514702	0.000252	0.000119	"{""0"": 0, ""1"": 0, ""2"": 10, ""3"": 0}"	0.000000	0	0.000119	0.514487	1.000000	0.000215					yes	0.009353	0.006000	0.009353	0.024418	0.975665	no	yes	no	fail	45	reports/experiments/l3_bottleneck/phase2/b5_scout/g2_sampled_delta0p006/seed45_simplex.png	reports/experiments/l3_bottleneck/phase2/b5_scout/g2_sampled_delta0p006/seed45_phase_amplitude.png	reports/experiments/l3_bottleneck/phase2/b5_scout/g2_sampled_delta0p006/seed45_drift_vector_rose.png	yes	/home/user/personality-dungeon/docs/personality_dungeon_v1/02_event_templates_v1.json	3	300	3000	reports/experiments/l3_bottleneck/phase2/b5_scout/g2_sampled_delta0p006
g2_sampled	g2_sampled_delta0p010	0.010000	no	10	2.000000	0.515111	0.000253	0.000119	"{""0"": 0, ""1"": 0, ""2"": 10, ""3"": 0}"	0.000000	0	0.000119	0.514487	1.000000	0.000624					yes	0.015587	0.010000	0.015587	0.024497	0.975639	no	yes	no	fail	45	reports/experiments/l3_bottleneck/phase2/b5_scout/g2_sampled_delta0p010/seed45_simplex.png	reports/experiments/l3_bottleneck/phase2/b5_scout/g2_sampled_delta0p010/seed45_phase_amplitude.png	reports/experiments/l3_bottleneck/phase2/b5_scout/g2_sampled_delta0p010/seed45_drift_vector_rose.png	yes	/home/user/personality-dungeon/docs/personality_dungeon_v1/02_event_templates_v1.json	3	300	3000	reports/experiments/l3_bottleneck/phase2/b5_scout/g2_sampled_delta0p010
g2_sampled	g2_sampled_delta0p015	0.015000	no	10	2.000000	0.514946	0.000252	0.000119	"{""0"": 0, ""1"": 0, ""2"": 10, ""3"": 0}"	0.000000	0	0.000119	0.514487	1.000000	0.000459					yes	0.023378	0.015000	0.023378	0.024153	0.975617	no	no	no	weak_positive	45	reports/experiments/l3_bottleneck/phase2/b5_scout/g2_sampled_delta0p015/seed45_simplex.png	reports/experiments/l3_bottleneck/phase2/b5_scout/g2_sampled_delta0p015/seed45_phase_amplitude.png	reports/experiments/l3_bottleneck/phase2/b5_scout/g2_sampled_delta0p015/seed45_drift_vector_rose.png	yes	/home/user/personality-dungeon/docs/personality_dungeon_v1/02_event_templates_v1.json	3	300	3000	reports/experiments/l3_bottleneck/phase2/b5_scout/g2_sampled_delta0p015
