gate	condition	tangential_drift_delta	seed	cycle_level	stage3_score	turn_strength	env_gamma	env_gamma_r2	env_gamma_n_peaks	control_env_gamma	control_stage3_score	gamma_uplift_ratio_vs_control_seed	stage3_uplift_vs_control_seed	has_level3_seed	g1_gate_pass	drift_contribution_ratio	mean_drift_norm	mean_effective_delta_growth_ratio	mean_tangential_alignment	phase_amplitude_stability	out_csv	provenance_json
g1_mean_field	g1_mean_field_delta0p000	0.000000	45	3	1.000000	0.000000	0.000381	0.470628	46	0.000381	1.000000	1.000000	0.000000	yes	yes	0.000000	0.000000	0.000000	0.000000	0.812433	reports/experiments/l3_bottleneck/phase2/b5_scout/g1_mean_field_delta0p000/seed45.csv	reports/experiments/l3_bottleneck/phase2/b5_scout/g1_mean_field_delta0p000/seed45_provenance.json
g1_mean_field	g1_mean_field_delta0p000	0.000000	47	3	1.000000	0.000000	0.000381	0.470628	46	0.000381	1.000000	1.000000	0.000000	yes	yes	0.000000	0.000000	0.000000	0.000000	0.812433	reports/experiments/l3_bottleneck/phase2/b5_scout/g1_mean_field_delta0p000/seed47.csv	reports/experiments/l3_bottleneck/phase2/b5_scout/g1_mean_field_delta0p000/seed47_provenance.json
g1_mean_field	g1_mean_field_delta0p000	0.000000	49	3	1.000000	0.000000	0.000381	0.470628	46	0.000381	1.000000	1.000000	0.000000	yes	yes	0.000000	0.000000	0.000000	0.000000	0.812433	reports/experiments/l3_bottleneck/phase2/b5_scout/g1_mean_field_delta0p000/seed49.csv	reports/experiments/l3_bottleneck/phase2/b5_scout/g1_mean_field_delta0p000/seed49_provenance.json
g1_mean_field	g1_mean_field_delta0p000	0.000000	50	3	1.000000	0.000000	0.000381	0.470628	46	0.000381	1.000000	1.000000	0.000000	yes	yes	0.000000	0.000000	0.000000	0.000000	0.812433	reports/experiments/l3_bottleneck/phase2/b5_scout/g1_mean_field_delta0p000/seed50.csv	reports/experiments/l3_bottleneck/phase2/b5_scout/g1_mean_field_delta0p000/seed50_provenance.json
g1_mean_field	g1_mean_field_delta0p000	0.000000	51	3	1.000000	0.000000	0.000381	0.470628	46	0.000381	1.000000	1.000000	0.000000	yes	yes	0.000000	0.000000	0.000000	0.000000	0.812433	reports/experiments/l3_bottleneck/phase2/b5_scout/g1_mean_field_delta0p000/seed51.csv	reports/experiments/l3_bottleneck/phase2/b5_scout/g1_mean_field_delta0p000/seed51_provenance.json
g1_mean_field	g1_mean_field_delta0p000	0.000000	52	3	1.000000	0.000000	0.000381	0.470628	46	0.000381	1.000000	1.000000	0.000000	yes	yes	0.000000	0.000000	0.000000	0.000000	0.812433	reports/experiments/l3_bottleneck/phase2/b5_scout/g1_mean_field_delta0p000/seed52.csv	reports/experiments/l3_bottleneck/phase2/b5_scout/g1_mean_field_delta0p000/seed52_provenance.json
g1_mean_field	g1_mean_field_delta0p000	0.000000	53	3	1.000000	0.000000	0.000381	0.470628	46	0.000381	1.000000	1.000000	0.000000	yes	yes	0.000000	0.000000	0.000000	0.000000	0.812433	reports/experiments/l3_bottleneck/phase2/b5_scout/g1_mean_field_delta0p000/seed53.csv	reports/experiments/l3_bottleneck/phase2/b5_scout/g1_mean_field_delta0p000/seed53_provenance.json
g1_mean_field	g1_mean_field_delta0p000	0.000000	54	3	1.000000	0.000000	0.000381	0.470628	46	0.000381	1.000000	1.000000	0.000000	yes	yes	0.000000	0.000000	0.000000	0.000000	0.812433	reports/experiments/l3_bottleneck/phase2/b5_scout/g1_mean_field_delta0p000/seed54.csv	reports/experiments/l3_bottleneck/phase2/b5_scout/g1_mean_field_delta0p000/seed54_provenance.json
g1_mean_field	g1_mean_field_delta0p000	0.000000	55	3	1.000000	0.000000	0.000381	0.470628	46	0.000381	1.000000	1.000000	0.000000	yes	yes	0.000000	0.000000	0.000000	0.000000	0.812433	reports/experiments/l3_bottleneck/phase2/b5_scout/g1_mean_field_delta0p000/seed55.csv	reports/experiments/l3_bottleneck/phase2/b5_scout/g1_mean_field_delta0p000/seed55_provenance.json
g1_mean_field	g1_mean_field_delta0p000	0.000000	56	3	1.000000	0.000000	0.000381	0.470628	46	0.000381	1.000000	1.000000	0.000000	yes	yes	0.000000	0.000000	0.000000	0.000000	0.812433	reports/experiments/l3_bottleneck/phase2/b5_scout/g1_mean_field_delta0p000/seed56.csv	reports/experiments/l3_bottleneck/phase2/b5_scout/g1_mean_field_delta0p000/seed56_provenance.json
g1_mean_field	g1_mean_field_delta0p003	0.003000	45	3	1.000000	0.000000	0.000405	0.497339	45	0.000381	1.000000	1.062992	0.000000	yes	yes	0.003572	0.003000	0.003572	-0.835986	0.813437	reports/experiments/l3_bottleneck/phase2/b5_scout/g1_mean_field_delta0p003/seed45.csv	reports/experiments/l3_bottleneck/phase2/b5_scout/g1_mean_field_delta0p003/seed45_provenance.json
g1_mean_field	g1_mean_field_delta0p003	0.003000	47	3	1.000000	0.000000	0.000405	0.497339	45	0.000381	1.000000	1.062992	0.000000	yes	yes	0.003572	0.003000	0.003572	-0.835986	0.813437	reports/experiments/l3_bottleneck/phase2/b5_scout/g1_mean_field_delta0p003/seed47.csv	reports/experiments/l3_bottleneck/phase2/b5_scout/g1_mean_field_delta0p003/seed47_provenance.json
