gate	condition	topology	beta_pair	mu_pair	seed	cycle_level	stage3_score	turn_strength	env_gamma	env_gamma_r2	env_gamma_n_peaks	mean_player_weight_entropy	weight_heterogeneity_std	spatial_strategy_clustering	mean_edge_strategy_distance	graph_clustering_coeff	has_level3_seed	out_csv	provenance_json
g2_c1_pairwise	g2_c1_control	none	5.000000	0.500000	45	2	0.508784	0.000919	0.000005	0.000643	1676	1.093775	0.000000	0.000000	0.000000	0.000000	no	reports/experiments/l3_bottleneck/phase2/c1_native_scout/g2_c1_control/seed45.csv	reports/experiments/l3_bottleneck/phase2/c1_native_scout/g2_c1_control/seed45_provenance.json
g2_c1_pairwise	g2_c1_control	none	5.000000	0.500000	47	1	0.000000	0.000000	0.000002	0.000075	1655	1.093946	0.000000	0.000000	0.000000	0.000000	no	reports/experiments/l3_bottleneck/phase2/c1_native_scout/g2_c1_control/seed47.csv	reports/experiments/l3_bottleneck/phase2/c1_native_scout/g2_c1_control/seed47_provenance.json
g2_c1_pairwise	g2_c1_control	none	5.000000	0.500000	49	1	0.000000	0.000000	-0.000008	0.001483	1664	1.093828	0.000000	0.000000	0.000000	0.000000	no	reports/experiments/l3_bottleneck/phase2/c1_native_scout/g2_c1_control/seed49.csv	reports/experiments/l3_bottleneck/phase2/c1_native_scout/g2_c1_control/seed49_provenance.json
g2_c1_pairwise	g2_c1_control	none	5.000000	0.500000	50	2	0.504377	0.001003	0.000001	0.000016	1690	1.093547	0.000000	0.000000	0.000000	0.000000	no	reports/experiments/l3_bottleneck/phase2/c1_native_scout/g2_c1_control/seed50.csv	reports/experiments/l3_bottleneck/phase2/c1_native_scout/g2_c1_control/seed50_provenance.json
g2_c1_pairwise	g2_c1_control	none	5.000000	0.500000	51	2	0.494949	0.000979	0.000004	0.000431	1684	1.093788	0.000000	0.000000	0.000000	0.000000	no	reports/experiments/l3_bottleneck/phase2/c1_native_scout/g2_c1_control/seed51.csv	reports/experiments/l3_bottleneck/phase2/c1_native_scout/g2_c1_control/seed51_provenance.json
g2_c1_pairwise	g2_c1_control	none	5.000000	0.500000	52	1	0.000000	0.000000	-0.000001	0.000011	1657	1.093617	0.000000	0.000000	0.000000	0.000000	no	reports/experiments/l3_bottleneck/phase2/c1_native_scout/g2_c1_control/seed52.csv	reports/experiments/l3_bottleneck/phase2/c1_native_scout/g2_c1_control/seed52_provenance.json
g2_c1_pairwise	g2_c1_control	none	5.000000	0.500000	53	2	0.511440	0.000920	-0.000001	0.000031	1666	1.093695	0.000000	0.000000	0.000000	0.000000	no	reports/experiments/l3_bottleneck/phase2/c1_native_scout/g2_c1_control/seed53.csv	reports/experiments/l3_bottleneck/phase2/c1_native_scout/g2_c1_control/seed53_provenance.json
g2_c1_pairwise	g2_c1_control	none	5.000000	0.500000	54	1	0.000000	0.000000	-0.000007	0.001570	1664	1.093861	0.000000	0.000000	0.000000	0.000000	no	reports/experiments/l3_bottleneck/phase2/c1_native_scout/g2_c1_control/seed54.csv	reports/experiments/l3_bottleneck/phase2/c1_native_scout/g2_c1_control/seed54_provenance.json
g2_c1_pairwise	g2_c1_control	none	5.000000	0.500000	55	2	0.494268	0.001020	0.000001	0.000018	1662	1.093980	0.000000	0.000000	0.000000	0.000000	no	reports/experiments/l3_bottleneck/phase2/c1_native_scout/g2_c1_control/seed55.csv	reports/experiments/l3_bottleneck/phase2/c1_native_scout/g2_c1_control/seed55_provenance.json
g2_c1_pairwise	g2_c1_control	none	5.000000	0.500000	56	1	0.000000	0.000000	0.000013	0.004716	1669	1.093710	0.000000	0.000000	0.000000	0.000000	no	reports/experiments/l3_bottleneck/phase2/c1_native_scout/g2_c1_control/seed56.csv	reports/experiments/l3_bottleneck/phase2/c1_native_scout/g2_c1_control/seed56_provenance.json
g2_c1_pairwise	g2_c1_small_world_b10p0_m0p5	small_world	10.000000	0.500000	45	2	0.521856	0.001000	0.000004	0.000541	1635	1.093817	0.000000	1.000000	0.000000	0.367333	no	reports/experiments/l3_bottleneck/phase2/c1_native_scout/g2_c1_small_world_b10p0_m0p5/seed45.csv	reports/experiments/l3_bottleneck/phase2/c1_native_scout/g2_c1_small_world_b10p0_m0p5/seed45_provenance.json
g2_c1_pairwise	g2_c1_small_world_b10p0_m0p5	small_world	10.000000	0.500000	47	2	0.507402	0.001023	-0.000004	0.000358	1681	1.093961	0.000000	1.000000	0.000000	0.372444	no	reports/experiments/l3_bottleneck/phase2/c1_native_scout/g2_c1_small_world_b10p0_m0p5/seed47.csv	reports/experiments/l3_bottleneck/phase2/c1_native_scout/g2_c1_small_world_b10p0_m0p5/seed47_provenance.json
g2_c1_pairwise	g2_c1_small_world_b10p0_m0p5	small_world	10.000000	0.500000	49	2	0.503360	0.000996	0.000003	0.000249	1667	1.093857	0.000000	1.000000	0.000000	0.352254	no	reports/experiments/l3_bottleneck/phase2/c1_native_scout/g2_c1_small_world_b10p0_m0p5/seed49.csv	reports/experiments/l3_bottleneck/phase2/c1_native_scout/g2_c1_small_world_b10p0_m0p5/seed49_provenance.json
g2_c1_pairwise	g2_c1_small_world_b10p0_m0p5	small_world	10.000000	0.500000	50	1	0.000000	0.000000	-0.000005	0.000852	1702	1.093643	0.000000	1.000000	0.000000	0.375111	no	reports/experiments/l3_bottleneck/phase2/c1_native_scout/g2_c1_small_world_b10p0_m0p5/seed50.csv	reports/experiments/l3_bottleneck/phase2/c1_native_scout/g2_c1_small_world_b10p0_m0p5/seed50_provenance.json
g2_c1_pairwise	g2_c1_small_world_b10p0_m0p5	small_world	10.000000	0.500000	51	2	0.511864	0.000999	0.000007	0.001397	1686	1.093875	0.000000	1.000000	0.000000	0.363333	no	reports/experiments/l3_bottleneck/phase2/c1_native_scout/g2_c1_small_world_b10p0_m0p5/seed51.csv	reports/experiments/l3_bottleneck/phase2/c1_native_scout/g2_c1_small_world_b10p0_m0p5/seed51_provenance.json
g2_c1_pairwise	g2_c1_small_world_b10p0_m0p5	small_world	10.000000	0.500000	52	2	0.508086	0.000972	-0.000009	0.002302	1664	1.093436	0.000000	1.000000	0.000000	0.352587	no	reports/experiments/l3_bottleneck/phase2/c1_native_scout/g2_c1_small_world_b10p0_m0p5/seed52.csv	reports/experiments/l3_bottleneck/phase2/c1_native_scout/g2_c1_small_world_b10p0_m0p5/seed52_provenance.json
g2_c1_pairwise	g2_c1_small_world_b10p0_m0p5	small_world	10.000000	0.500000	53	1	0.000000	0.000000	-0.000002	0.000091	1655	1.093763	0.000000	1.000000	0.000000	0.362444	no	reports/experiments/l3_bottleneck/phase2/c1_native_scout/g2_c1_small_world_b10p0_m0p5/seed53.csv	reports/experiments/l3_bottleneck/phase2/c1_native_scout/g2_c1_small_world_b10p0_m0p5/seed53_provenance.json
