gate	condition	topology	beta_pair	mu_pair	seed	cycle_level	stage3_score	turn_strength	env_gamma	env_gamma_r2	env_gamma_n_peaks	mean_player_weight_entropy	weight_heterogeneity_std	spatial_strategy_clustering	mean_edge_strategy_distance	graph_clustering_coeff	has_level3_seed	out_csv	provenance_json
g2_c1_pairwise	g2_c1_control	none	5.000000	0.500000	45	2	0.511604	0.001041	0.000006	0.000294	1013	1.093775	0.000000	0.000000	0.000000	0.000000	no	reports/experiments/l3_bottleneck/phase2/c1_scout/g2_c1_control/seed45.csv	reports/experiments/l3_bottleneck/phase2/c1_scout/g2_c1_control/seed45_provenance.json
g2_c1_pairwise	g2_c1_control	none	5.000000	0.500000	47	2	0.482794	0.000949	-0.000006	0.000314	1002	1.093946	0.000000	0.000000	0.000000	0.000000	no	reports/experiments/l3_bottleneck/phase2/c1_scout/g2_c1_control/seed47.csv	reports/experiments/l3_bottleneck/phase2/c1_scout/g2_c1_control/seed47_provenance.json
g2_c1_pairwise	g2_c1_control	none	5.000000	0.500000	49	2	0.501008	0.001042	-0.000015	0.001975	1011	1.093828	0.000000	0.000000	0.000000	0.000000	no	reports/experiments/l3_bottleneck/phase2/c1_scout/g2_c1_control/seed49.csv	reports/experiments/l3_bottleneck/phase2/c1_scout/g2_c1_control/seed49_provenance.json
g2_c1_pairwise	g2_c1_control	none	5.000000	0.500000	50	2	0.527068	0.000961	-0.000024	0.006175	1021	1.093547	0.000000	0.000000	0.000000	0.000000	no	reports/experiments/l3_bottleneck/phase2/c1_scout/g2_c1_control/seed50.csv	reports/experiments/l3_bottleneck/phase2/c1_scout/g2_c1_control/seed50_provenance.json
g2_c1_pairwise	g2_c1_control	none	5.000000	0.500000	51	2	0.507583	0.000971	0.000010	0.001059	1007	1.093788	0.000000	0.000000	0.000000	0.000000	no	reports/experiments/l3_bottleneck/phase2/c1_scout/g2_c1_control/seed51.csv	reports/experiments/l3_bottleneck/phase2/c1_scout/g2_c1_control/seed51_provenance.json
g2_c1_pairwise	g2_c1_control	none	5.000000	0.500000	52	2	0.508629	0.000952	-0.000014	0.001977	1002	1.093617	0.000000	0.000000	0.000000	0.000000	no	reports/experiments/l3_bottleneck/phase2/c1_scout/g2_c1_control/seed52.csv	reports/experiments/l3_bottleneck/phase2/c1_scout/g2_c1_control/seed52_provenance.json
g2_c1_pairwise	g2_c1_control	none	5.000000	0.500000	53	2	0.500000	0.000963	-0.000013	0.001775	1004	1.093695	0.000000	0.000000	0.000000	0.000000	no	reports/experiments/l3_bottleneck/phase2/c1_scout/g2_c1_control/seed53.csv	reports/experiments/l3_bottleneck/phase2/c1_scout/g2_c1_control/seed53_provenance.json
g2_c1_pairwise	g2_c1_control	none	5.000000	0.500000	54	2	0.515182	0.000988	-0.000009	0.000758	991	1.093861	0.000000	0.000000	0.000000	0.000000	no	reports/experiments/l3_bottleneck/phase2/c1_scout/g2_c1_control/seed54.csv	reports/experiments/l3_bottleneck/phase2/c1_scout/g2_c1_control/seed54_provenance.json
g2_c1_pairwise	g2_c1_control	none	5.000000	0.500000	55	2	0.541331	0.000955	0.000024	0.005694	995	1.093980	0.000000	0.000000	0.000000	0.000000	no	reports/experiments/l3_bottleneck/phase2/c1_scout/g2_c1_control/seed55.csv	reports/experiments/l3_bottleneck/phase2/c1_scout/g2_c1_control/seed55_provenance.json
g2_c1_pairwise	g2_c1_control	none	5.000000	0.500000	56	2	0.535569	0.000941	0.000025	0.006184	1005	1.093710	0.000000	0.000000	0.000000	0.000000	no	reports/experiments/l3_bottleneck/phase2/c1_scout/g2_c1_control/seed56.csv	reports/experiments/l3_bottleneck/phase2/c1_scout/g2_c1_control/seed56_provenance.json
