gate	family	condition	graph_topology	graph_degree	p_rewire	update_mode	pairwise_imitation_strength	pairwise_beta	local_selection_strength	init_mode	seed	cycle_level	stage3_score	turn_strength	env_gamma	env_gamma_r2	env_gamma_n_peaks	control_env_gamma	control_stage3_score	stage3_uplift_vs_control_seed	has_level3_seed	init_weight_dispersion	graph_clustering_coefficient	graph_mean_path_length	spatial_autocorrelation_d1	spatial_autocorrelation_d2	mean_batch_phase_spread	mean_edge_strategy_distance	edge_disagreement_rate	mean_local_growth_cosine_vs_global	mean_player_growth_dispersion	phase_amplitude_stability	out_csv	provenance_json
g2_sampled	t_series	control_random_init	well_mixed	0		well_mixed_sampled				random_init	45	2	0.501520	0.000698	-0.000027	0.003306	1009				no	0.363792										0.649671	reports/experiments/l3_bottleneck/phase2/t_scout/control_random_init/seed45.csv	
g2_sampled	t_series	control_random_init	well_mixed	0		well_mixed_sampled				random_init	47	2	0.529052	0.000712	-0.000003	0.000040	1000				no	0.396087										0.682955	reports/experiments/l3_bottleneck/phase2/t_scout/control_random_init/seed47.csv	
g2_sampled	t_series	control_random_init	well_mixed	0		well_mixed_sampled				random_init	49	2	0.523327	0.000792	0.000001	0.000011	1000				no	0.386166										0.703997	reports/experiments/l3_bottleneck/phase2/t_scout/control_random_init/seed49.csv	
g2_sampled	t_series	control_random_init	well_mixed	0		well_mixed_sampled				random_init	50	2	0.514170	0.000737	-0.000021	0.001850	991				no	0.367286										0.632674	reports/experiments/l3_bottleneck/phase2/t_scout/control_random_init/seed50.csv	
g2_sampled	t_series	control_random_init	well_mixed	0		well_mixed_sampled				random_init	51	2	0.506559	0.000698	-0.000027	0.002948	1009				no	0.358009										0.646256	reports/experiments/l3_bottleneck/phase2/t_scout/control_random_init/seed51.csv	
g2_sampled	t_series	control_random_init	well_mixed	0		well_mixed_sampled				random_init	52	2	0.505071	0.000728	-0.000003	0.000063	984				no	0.367604										0.673360	reports/experiments/l3_bottleneck/phase2/t_scout/control_random_init/seed52.csv	
g2_sampled	t_series	control_random_init	well_mixed	0		well_mixed_sampled				random_init	53	2	0.501018	0.000671	-0.000001	0.000003	1000				no	0.381159										0.674717	reports/experiments/l3_bottleneck/phase2/t_scout/control_random_init/seed53.csv	
g2_sampled	t_series	control_random_init	well_mixed	0		well_mixed_sampled				random_init	54	2	0.500506	0.000689	-0.000006	0.000159	1001				no	0.365115										0.661044	reports/experiments/l3_bottleneck/phase2/t_scout/control_random_init/seed54.csv	
g2_sampled	t_series	control_random_init	well_mixed	0		well_mixed_sampled				random_init	55	2	0.511134	0.000734	-0.000015	0.001055	995				no	0.382012										0.644130	reports/experiments/l3_bottleneck/phase2/t_scout/control_random_init/seed55.csv	
g2_sampled	t_series	control_random_init	well_mixed	0		well_mixed_sampled				random_init	56	2	0.524641	0.000749	-0.000025	0.004361	989				no	0.380942										0.686484	reports/experiments/l3_bottleneck/phase2/t_scout/control_random_init/seed56.csv	
