condition	seed	sigma	cycle_level	stage3_score	w_cycle_level	w_stage3_score
l0_l2_positive_control	1	0.005	2	0.517535	0	0.000000
l0_l2_positive_control	2	0.005	2	0.523404	0	0.000000
l0_l2_positive_control	3	0.005	2	0.528856	0	0.000000
l0_l2_positive_control	4	0.005	2	0.500000	0	0.000000
l0_l2_positive_control	5	0.005	2	0.538462	0	0.000000
l0_l2_positive_control	6	0.005	2	0.493684	0	0.000000
l0_l2_positive_control	7	0.005	2	0.496296	0	0.000000
l0_l2_positive_control	8	0.005	2	0.521231	0	0.000000
l0_l2_positive_control	9	0.005	2	0.498936	0	0.000000
l0_l2_positive_control	10	0.005	2	0.517857	0	0.000000
l0_l2_positive_control	1	0.05	2	0.520591	0	0.000000
l0_l2_positive_control	2	0.05	2	0.523355	0	0.000000
l0_l2_positive_control	3	0.05	2	0.526758	0	0.000000
l0_l2_positive_control	4	0.05	2	0.494168	0	0.000000
l0_l2_positive_control	5	0.05	2	0.538954	0	0.000000
l0_l2_positive_control	6	0.05	2	0.491043	0	0.000000
l0_l2_positive_control	7	0.05	2	0.494192	0	0.000000
l0_l2_positive_control	8	0.05	2	0.519412	0	0.000000
l0_l2_positive_control	9	0.05	2	0.500000	0	0.000000
l0_l2_positive_control	10	0.05	2	0.519412	0	0.000000
l0_l2_positive_control	1	0.2	2	0.516842	3	0.583166
l0_l2_positive_control	2	0.2	2	0.525134	3	0.590180
l0_l2_positive_control	3	0.2	2	0.518868	3	0.569138
l0_l2_positive_control	4	0.2	2	0.486660	3	0.574148
l0_l2_positive_control	5	0.2	2	0.530983	2	0.547094
l0_l2_positive_control	6	0.2	2	0.521231	3	0.596192
l0_l2_positive_control	7	0.2	2	0.499469	3	0.569138
l0_l2_positive_control	8	0.2	2	0.514706	3	0.588176
l0_l2_positive_control	9	0.2	2	0.504762	3	0.582164
l0_l2_positive_control	10	0.2	2	0.513116	3	0.609218
