seed,group,reward_mean,reward_std,p_aggressive,p_defensive,p_balanced,dominant_strategy,phase_burn_in,phase_tail
42,G-AGG,3.373875,1.173629,0.356667,0.27,0.373333,balanced,50,150
42,G-DEF,3.274,1.103116,0.276667,0.358333,0.365,defensive,50,150
42,G-BAL,3.358625,1.161986,0.316667,0.31,0.373333,balanced,50,150
43,G-AGG,3.18475,1.247729,0.383333,0.266667,0.35,aggressive,50,150
43,G-DEF,3.064,1.172594,0.32,0.336667,0.343333,aggressive,50,150
43,G-BAL,3.091,1.159752,0.351667,0.3,0.348333,aggressive,50,150
44,G-AGG,3.188875,1.055386,0.38,0.26,0.36,balanced,50,150
44,G-DEF,3.241,0.993588,0.326667,0.316667,0.356667,balanced,50,150
44,G-BAL,3.35225,1.107117,0.353333,0.285,0.361667,balanced,50,150
45,G-AGG,3.16175,0.94729,0.393333,0.255,0.351667,aggressive,50,150
45,G-DEF,3.14575,0.80516,0.325,0.328333,0.346667,balanced,50,150
45,G-BAL,3.26925,0.901601,0.351667,0.295,0.353333,aggressive,50,150
46,G-AGG,3.4345,1.21823,0.388333,0.251667,0.36,balanced,50,150
46,G-DEF,3.327375,1.136072,0.338333,0.31,0.351667,balanced,50,150
46,G-BAL,3.504375,1.259722,0.358333,0.276667,0.365,balanced,50,150
