seed,alpha,group,amplitude_p,oscillation_score,convergence_time,coupling_score,reward_mean,reward_std,strategy_entropy_mean,personality_saturation,classification
42,0.1,G-AGG,0.041344,0.13279,0,0.066772,4.8258,2.055038,0.75233,0.0,S1
43,0.1,G-AGG,0.039031,0.100572,0,0.125096,4.40595,1.832906,0.778881,0.0,S1
44,0.1,G-AGG,0.08475,0.076123,0,-0.055157,4.403325,1.743427,0.774851,0.0,S2
42,0.2,G-AGG,0.082687,0.13279,0,0.066772,4.8258,2.055038,0.75233,0.0,S2
43,0.2,G-AGG,0.078063,0.100572,0,0.125096,4.40595,1.832906,0.778881,0.0,S2
44,0.2,G-AGG,0.1695,0.076123,0,-0.055157,4.403325,1.743427,0.774851,0.0,S2
42,0.3,G-AGG,0.124031,0.13279,0,0.066772,4.8258,2.055038,0.75233,0.0,S2
43,0.3,G-AGG,0.117094,0.100572,0,0.125096,4.40595,1.832906,0.778881,0.0,S2
44,0.3,G-AGG,0.25425,0.076123,0,-0.055157,4.403325,1.743427,0.774851,0.0,S4
42,0.4,G-AGG,0.165375,0.13279,0,0.066772,4.8258,2.055038,0.75233,0.0,S2
43,0.4,G-AGG,0.156125,0.100572,0,0.125096,4.40595,1.832906,0.778881,0.0,S2
44,0.4,G-AGG,0.339,0.076329,0,-0.054711,4.403325,1.743427,0.774851,0.1111,S4
42,0.5,G-AGG,0.206719,0.13279,23,0.066772,4.8258,2.055038,0.75233,0.0,S4
43,0.5,G-AGG,0.195156,0.100572,4,0.125096,4.40595,1.832906,0.778881,0.0,S2
44,0.5,G-AGG,0.42375,0.078593,19,-0.052985,4.403325,1.743427,0.774851,0.1111,S4
