round,p_aggressive,p_defensive,p_balanced,avg_reward,strategy_entropy,personality_norm,personality_velocity,phase
1,0.25,0.5,0.25,0.07500000000000001,1.0397207705399178,0.003167762968124684,0.003167762968124684,burn-in
2,0.25,0.25,0.5,0.09375000000000003,1.0397207705399178,0.0029243945242277574,0.00024336844389692648,burn-in
3,0.25,0.75,0.0,0.15000000000000002,0.5623351444188083,0.004207301853788119,0.0012829073295603619,burn-in
4,0.25,0.25,0.5,0.22500000000000003,1.0397207705399178,0.008140263441000474,0.003932961587212355,burn-in
5,0.25,0.25,0.5,0.28125,1.0397207705399178,0.009667025855395672,0.001526762414395198,burn-in
6,0.25,0.5,0.25,0.3375,1.0397207705399178,0.01121166307417806,0.0015446372187823878,burn-in
7,0.25,0.25,0.5,0.35625,1.0397207705399178,0.00992793040282475,0.001283732671353309,burn-in
8,0.75,0.25,0.0,0.41250000000000003,0.5623351444188083,0.009534704519688944,0.0003932258831358063,burn-in
9,0.5,0.25,0.25,0.43124999999999997,1.0397207705399178,0.00989574561364623,0.00036104109395728584,burn-in
10,0.0,0.25,0.75,0.48749999999999993,0.5623351444188083,0.00862046982478327,0.0012752757888629604,burn-in
11,0.25,0.25,0.5,0.54375,1.0397207705399178,0.015121900508864574,0.0065014306840813045,burn-in
12,0.25,0.5,0.25,0.5999999999999999,1.0397207705399178,0.01772534721882129,0.0026034467099567155,burn-in
13,0.0,0.0,1.0,0.54375,-1.000000082690371e-10,0.015544682459856662,0.002180664758964628,burn-in
14,0.25,0.5,0.25,0.5999999999999999,1.0397207705399178,0.012491264308618875,0.0030534181512377866,burn-in
15,0.0,0.25,0.75,0.5249999999999998,0.5623351444188083,0.00867650183125528,0.003814762477363596,burn-in
16,0.75,0.0,0.25,0.5437499999999997,0.5623351444188083,0.006222055584326074,0.0024544462469292053,burn-in
17,0.75,0.25,0.0,0.4687499999999998,0.5623351444188083,0.004211271663972464,0.0020107839203536105,burn-in
18,0.5,0.25,0.25,0.4874999999999998,1.0397207705399178,0.005113342093104217,0.0009020704291317532,burn-in
19,0.25,0.5,0.25,0.5437499999999997,1.0397207705399178,0.004587876536166902,0.000525465556937315,burn-in
20,0.0,0.25,0.75,0.5624999999999998,0.5623351444188083,0.004168593304567942,0.00041928323159895996,burn-in
21,0.25,0.25,0.5,0.6187499999999998,1.0397207705399178,0.0044465869401897565,0.00027799363562181455,burn-in
22,0.25,0.0,0.75,0.6374999999999997,0.5623351444188083,0.004401556306202023,4.503063398773356e-05,burn-in
23,0.5,0.5,0.0,0.7124999999999997,0.6931471803599453,0.0019008632907181343,0.0025006930154838885,burn-in
24,0.0,0.5,0.5,0.6374999999999996,0.6931471803599453,0.00431149344130841,0.002410630150590276,burn-in
25,0.25,0.5,0.25,0.6937499999999996,1.0397207705399178,0.004762410687409949,0.0004509172461015388,burn-in
26,0.5,0.0,0.5,0.6187499999999997,0.6931471803599453,0.00832603847376824,0.0035636277863582916,burn-in
27,0.25,0.25,0.5,0.6749999999999996,1.0397207705399178,0.005935599110920243,0.0023904393628479976,burn-in
28,0.5,0.25,0.25,0.7499999999999996,1.0397207705399178,0.003275871915315929,0.002659727195604314,burn-in
29,0.0,1.0,0.0,0.8249999999999996,-1.000000082690371e-10,0.006842885853611478,0.0035670139382955493,burn-in
30,0.25,0.25,0.5,0.8437499999999997,1.0397207705399178,0.0070785829659301205,0.00023569711231864222,burn-in
31,0.25,0.5,0.25,0.8999999999999997,1.0397207705399178,0.006543059830419104,0.0005355231355110169,burn-in
32,0.5,0.25,0.25,0.9749999999999996,1.0397207705399178,0.008015555622939825,0.0014724957925207217,burn-in
33,0.25,0.25,0.5,0.8999999999999997,1.0397207705399178,0.0077689620177558245,0.0002465936051840008,burn-in
