seed,alpha,group,attractor_distance,attractor_norm,attractor_variance,impulsiveness,assertiveness,optimism,risk_aversion,suspicion,endurance,randomness,stability_seeking,curiosity
42,0.1,G-AGG,0.027978,0.655361,4.342e-06,0.772448,0.724548,0.588811,-0.923012,-0.386774,0.311443,0.67417,-0.471099,0.788768
43,0.1,G-AGG,0.049504,0.657704,1.3248e-05,0.77072,0.72282,0.594366,-0.921284,-0.406758,0.305889,0.681453,-0.469372,0.794323
44,0.1,G-AGG,0.059475,0.660132,8.1859e-05,0.772736,0.724836,0.598273,-0.9233,-0.414146,0.301982,0.683344,-0.471387,0.79823
42,0.15,G-AGG,0.041968,0.657743,9.769e-06,0.772715,0.724816,0.595028,-0.923279,-0.393412,0.305226,0.68012,-0.471367,0.794985
43,0.15,G-AGG,0.074256,0.661347,2.9807e-05,0.770123,0.722224,0.60336,-0.920687,-0.423388,0.296894,0.691044,-0.468775,0.803318
44,0.15,G-AGG,0.089213,0.665034,0.000184182,0.773147,0.725248,0.609221,-0.923711,-0.434471,0.291034,0.69388,-0.471799,0.809178
42,0.2,G-AGG,0.055957,0.66015,1.7368e-05,0.772983,0.725083,0.601245,-0.923547,-0.40005,0.29901,0.686069,-0.471634,0.801202
43,0.2,G-AGG,0.099008,0.665073,5.299e-05,0.769527,0.721627,0.612355,-0.920091,-0.440018,0.2879,0.700635,-0.468179,0.812312
44,0.2,G-AGG,0.118951,0.670047,0.000327435,0.773559,0.725659,0.620169,-0.924123,-0.454795,0.280086,0.704417,-0.47221,0.820126
42,0.25,G-AGG,0.069946,0.662581,2.7137e-05,0.77325,0.725351,0.607462,-0.923814,-0.406688,0.292793,0.692019,-0.471902,0.807419
43,0.25,G-AGG,0.12376,0.668879,8.2797e-05,0.768931,0.721031,0.621349,-0.919495,-0.456648,0.278906,0.710226,-0.467582,0.821306
44,0.25,G-AGG,0.148689,0.675168,0.000511617,0.77397,0.726071,0.631116,-0.924534,-0.475119,0.269138,0.714953,-0.472622,0.831074
42,0.3,G-AGG,0.083935,0.665036,3.9077e-05,0.773518,0.725618,0.613679,-0.924082,-0.413326,0.286576,0.697968,-0.472169,0.813636
43,0.3,G-AGG,0.148512,0.672766,0.000119228,0.768334,0.720434,0.630344,-0.918898,-0.473278,0.269911,0.719816,-0.466986,0.830301
44,0.3,G-AGG,0.178426,0.680395,0.000736728,0.774382,0.726482,0.642064,-0.924946,-0.495443,0.258191,0.72549,-0.473033,0.842021
42,0.35,G-AGG,0.097925,0.667514,5.3188e-05,0.773785,0.725886,0.619896,-0.924349,-0.419964,0.280359,0.703918,-0.472437,0.819853
43,0.35,G-AGG,0.173264,0.67673,0.000162283,0.767738,0.719838,0.639338,-0.918302,-0.489908,0.260917,0.729407,-0.466389,0.839295
44,0.35,G-AGG,0.208164,0.685725,0.001002769,0.774793,0.726893,0.653012,-0.925357,-0.515768,0.247243,0.736026,-0.473445,0.852969
42,0.4,G-AGG,0.111914,0.670015,6.947e-05,0.774053,0.726153,0.626113,-0.924617,-0.426602,0.274142,0.709867,-0.472704,0.82607
43,0.4,G-AGG,0.198016,0.680772,0.000211961,0.767141,0.719242,0.648332,-0.917705,-0.506538,0.251922,0.738998,-0.465793,0.84829
44,0.4,G-AGG,0.237902,0.691157,0.00130974,0.775205,0.727305,0.66396,-0.925768,-0.536092,0.236295,0.746562,-0.473856,0.863917
