round,p_aggressive,p_defensive,p_balanced,avg_reward,strategy_entropy,personality_norm,phase
1,0.5,0.5,0.0,0.05624999999999997,0.6931471803599453,0.0022710065396482275,burn-in
2,0.5,0.25,0.25,-0.018750000000000044,1.0397207705399178,0.006681146790726605,burn-in
3,0.5,0.25,0.25,0.03749999999999992,1.0397207705399178,0.0071665228304364555,burn-in
4,0.0,0.75,0.25,0.09374999999999983,0.5623351444188083,0.005657997830781235,burn-in
5,0.75,0.0,0.25,0.16874999999999996,0.5623351444188083,0.004546266425481298,burn-in
6,0.25,0.75,0.0,0.16874999999999996,0.5623351444188083,0.004546266425481298,burn-in
7,0.5,0.25,0.25,0.1875,1.0397207705399178,0.006006655921940553,burn-in
8,0.5,0.0,0.5,0.26249999999999996,0.6931471803599453,0.007012610324196567,burn-in
9,0.25,0.5,0.25,0.3187499999999999,1.0397207705399178,0.006177366579368862,burn-in
10,0.25,0.5,0.25,0.3374999999999999,1.0397207705399178,0.003616324028508338,burn-in
11,0.75,0.25,0.0,0.3562499999999998,0.5623351444188083,0.00385522226535354,burn-in
12,0.0,0.25,0.75,0.3749999999999998,0.5623351444188083,0.004083562520141297,burn-in
13,0.5,0.5,0.0,0.4312499999999998,0.6931471803599453,0.0035386016148881705,burn-in
14,0.25,0.25,0.5,0.4874999999999998,1.0397207705399178,0.00476854134354933,burn-in
15,0.0,0.5,0.5,0.41249999999999976,0.6931471803599453,0.004409124111887536,burn-in
16,0.5,0.0,0.5,0.4687499999999998,0.6931471803599453,0.0038433300640073925,burn-in
17,0.5,0.0,0.5,0.5249999999999998,0.6931471803599453,0.0032467598698976852,burn-in
18,0.25,0.5,0.25,0.5437499999999997,1.0397207705399178,0.0031001617061319387,burn-in
19,0.5,0.5,0.0,0.5624999999999998,0.6931471803599453,0.0031359400518314773,burn-in
20,0.5,0.25,0.25,0.5062499999999998,1.0397207705399178,0.0038916393423380556,burn-in
21,0.5,0.25,0.25,0.5812499999999996,1.0397207705399178,0.004971435333063577,burn-in
22,0.25,0.75,0.0,0.6374999999999997,0.5623351444188083,0.003195812282633815,burn-in
23,0.25,0.5,0.25,0.6937499999999996,1.0397207705399178,0.005020911673835542,burn-in
24,0.25,0.25,0.5,0.6187499999999998,1.0397207705399178,0.009788791964981197,burn-in
25,0.25,0.0,0.75,0.6749999999999997,0.5623351444188083,0.008002083401132523,burn-in
26,0.25,0.25,0.5,0.5999999999999996,1.0397207705399178,0.013179990827126009,burn-in
27,0.5,0.25,0.25,0.6749999999999997,1.0397207705399178,0.008522152824180078,burn-in
28,0.25,0.5,0.25,0.7499999999999998,1.0397207705399178,0.006256778008715604,burn-in
29,0.5,0.25,0.25,0.8062499999999997,1.0397207705399178,0.0033592740617910473,burn-in
30,0.0,0.75,0.25,0.8249999999999997,0.5623351444188083,0.0032908465816501244,burn-in
31,0.5,0.0,0.5,0.8437499999999996,0.6931471803599453,0.002921777516199139,burn-in
32,0.75,0.0,0.25,0.8999999999999997,0.5623351444188083,0.0023479418532367,burn-in
33,0.0,0.25,0.75,0.9562499999999997,0.5623351444188083,0.0018604761561970577,burn-in
34,0.5,0.25,0.25,0.9749999999999995,1.0397207705399178,0.002617414221108572,burn-in
35,0.5,0.25,0.25,0.8999999999999995,1.0397207705399178,0.00784117999618935,burn-in
36,0.5,0.25,0.25,0.9562499999999996,1.0397207705399178,0.006057361080857733,burn-in
37,0.5,0.25,0.25,0.9749999999999995,1.0397207705399178,0.0065084371990752335,burn-in
38,0.75,0.0,0.25,1.0499999999999998,0.5623351444188083,0.005976548316068944,burn-in
39,0.5,0.0,0.5,1.1062499999999995,0.6931471803599453,0.005974335210431196,burn-in
40,0.0,0.0,1.0,1.1249999999999996,-1.000000082690371e-10,0.006386795069413212,burn-in
41,0.25,0.0,0.75,1.1999999999999995,0.5623351444188083,0.001969032442262145,burn-in
42,0.5,0.25,0.25,1.2562499999999996,1.0397207705399178,0.0015220457496043975,burn-in
43,0.5,0.0,0.5,1.3124999999999996,0.6931471803599453,0.008750193760255388,burn-in
44,0.5,0.0,0.5,1.3687499999999995,0.6931471803599453,0.007313165849908119,burn-in
45,0.25,0.5,0.25,1.3874999999999997,1.0397207705399178,0.011062590728598356,burn-in
46,0.25,0.25,0.5,1.4062499999999996,1.0397207705399178,0.011364435341230012,burn-in
47,0.5,0.0,0.5,1.4624999999999995,0.6931471803599453,0.012002609534333693,burn-in
48,0.5,0.5,0.0,1.4812499999999997,0.6931471803599453,0.015777553885099535,burn-in
49,0.75,0.25,0.0,1.5374999999999996,0.5623351444188083,0.013628054775099869,burn-in
50,0.25,0.5,0.25,1.5374999999999996,1.0397207705399178,0.013628054775099869,burn-in
51,0.75,0.0,0.25,1.5562499999999997,0.5623351444188083,0.01740503125096934,tail
52,0.5,0.5,0.0,1.5749999999999995,0.6931471803599453,0.017167068822403046,tail
53,0.25,0.25,0.5,1.6312499999999996,1.0397207705399178,0.0178063311686461,tail
54,0.0,0.25,0.75,1.6874999999999998,0.5623351444188083,0.015656500365318987,tail
55,1.0,0.0,0.0,1.6124999999999998,-1.000000082690371e-10,0.019492478879195953,tail
56,0.25,0.5,0.25,1.6312499999999999,1.0397207705399178,0.02248499994305613,tail
57,0.0,0.25,0.75,1.6875,0.5623351444188083,0.01637995992127476,tail
