seed,is_perturbed,perturbation_axis,epsilon,direction,recovery_time,recovery_success,lyapunov_exponent,decay_rate,half_life,final_perturbation_magnitude,final_distance_to_baseline
42,False,N/A,0.0,none,0,True,0.0,0.0,0,0.0,0.0
43,False,N/A,0.0,none,0,True,0.0,0.0,0,0.0,0.0
44,False,N/A,0.0,none,0,True,0.0,0.0,0,0.0,0.0
42,True,0,0.005,positive,82,True,0.0,-0.0,150,0.005,0.11114
42,True,0,0.005,negative,67,True,0.0,-0.0,150,0.005,0.111795
42,True,0,0.01,positive,200,False,0.0,-0.0,150,0.01,0.111148
42,True,0,0.01,negative,200,False,0.0,-0.0,150,0.01,0.112455
42,True,0,0.02,positive,200,False,0.0,-0.0,150,0.02,0.111839
42,True,0,0.02,negative,200,False,0.0,-0.0,150,0.02,0.114421
42,True,1,0.005,positive,82,True,0.0,-0.0,150,0.005,0.110981
42,True,1,0.005,negative,67,True,0.0,-0.0,150,0.005,0.111953
42,True,1,0.01,positive,200,False,0.0,-0.0,150,0.01,0.11083
42,True,1,0.01,negative,200,False,0.0,-0.0,150,0.01,0.112769
42,True,1,0.02,positive,200,False,0.0,-0.0,150,0.02,0.111205
42,True,1,0.02,negative,200,False,0.0,-0.0,150,0.02,0.115037
43,True,0,0.005,positive,104,True,0.0,-0.0,150,0.005,0.025981
43,True,0,0.005,negative,104,True,0.0,-0.0,150,0.005,0.028703
43,True,0,0.01,positive,200,False,0.0,-0.0,150,0.01,0.025992
43,True,0,0.01,negative,200,False,0.0,-0.0,150,0.01,0.031197
43,True,0,0.02,positive,200,False,0.0,-0.0,150,0.02,0.028753
43,True,0,0.02,negative,200,False,0.0,-0.0,150,0.02,0.037711
43,True,1,0.005,positive,104,True,0.0,-0.0,150,0.005,0.025736
43,True,1,0.005,negative,104,True,0.0,-0.0,150,0.005,0.028923
43,True,1,0.01,positive,200,False,0.0,-0.0,150,0.01,0.025499
43,True,1,0.01,negative,200,False,0.0,-0.0,150,0.01,0.031601
43,True,1,0.02,positive,200,False,0.0,-0.0,150,0.02,0.027857
43,True,1,0.02,negative,200,False,0.0,-0.0,150,0.02,0.038378
44,True,0,0.005,positive,111,True,-0.0,-0.0,150,0.005,0.065424
44,True,0,0.005,negative,111,True,-0.0,-0.0,150,0.005,0.068348
44,True,0,0.01,positive,200,False,-0.0,0.0,150,0.01,0.064496
44,True,0,0.01,negative,200,False,-0.0,-0.0,150,0.01,0.0703
44,True,0,0.02,positive,200,False,-0.0,-0.0,150,0.02,0.063785
44,True,0,0.02,negative,200,False,-0.0,-0.0,150,0.02,0.075055
44,True,1,0.005,positive,111,True,-0.0,-0.0,150,0.005,0.065187
44,True,1,0.005,negative,111,True,-0.0,-0.0,150,0.005,0.068575
44,True,1,0.01,positive,200,False,-0.0,-0.0,150,0.01,0.064013
44,True,1,0.01,negative,200,False,-0.0,0.0,150,0.01,0.07074
44,True,1,0.02,positive,200,False,-0.0,-0.0,150,0.02,0.062805
44,True,1,0.02,negative,200,False,-0.0,-0.0,150,0.02,0.075877
